,Анекдоты
42,"Два каннибала едят клоуна. Один другому говорит:
- Смешно, правда?

"
43,"— Папа, знакомься, это Александр.
— Проходите Александр, отобедайте с нами.
— Папа, Александр сыт!
— Александр, не ссыте, проходите!

"
44,"Едут два казаха на тачке, на кочке основательно тряхнуло, глушитель отвалился.
Один другому говорит:
— Так, сейчас по-быстрому зацепим как-нибудь, а вот домой приедем - там уже конкретно на проволоку прикрутим!

"
45,"- Скажите, поручик, как вам удается так быстро сближаться с женщинами?
- Я их ебу, а это очень сближает!

"
46,"— Вы бегаете трусцой?
— Нет.
— Но почему? Это же так полезно для здоровья!
— Может быть. Но у меня лед из виски вываливается.

"
47,"Молодого человека, сидящего на скамейке, птицы уже изрядно достали — и он с криками «Fuсk оff!» пытается отогнать голубей.

"
48,"Старушка:
— Yоung mаn, dо nоt usе suсh wоrds! Just sау «shоо, birds, shоо!» — аnd thеу will fuсk оff.

"
49,"Детская больница. Привели 3-х летнего малыша сдавать общий анализ крови. Медсестра протирает малышу пальчик ваткой, а потом иголочкой протыкает его.
Мальчик посмотрел сначала на свой пальчик, потом на медсестру и говорит:
- Ты чё, блять, сделала?

"
50,"Рабинович нашел на улице кошелек. Пересчитал — не хватает!

"
51,"- Мама, что это?
- Луковый суп, сынок.
- Ты убила Чиполлино?!
- Нет, дорогой, я купила его уже мертвым.

"
52,"— Мам, ты в детстве любила смотреть сериалы?
— Нет, Чендлер.

"
53,"Роддом. Стоит мужик, к нему подходит врач:
— Иванов?
Мужик:
— Да.
— У вас родился сын, с шестью кулачками.
Мужик охуевает:
— Как с шестью?! (хватаясь за сердце)
Врач:
— А-а-а обманули дурака на четыре кулака! (убегает)

"
54,"Говорит как-то Путин Медведеву:
- Ты, Димон, совсем ботаником стал: айПоды, твиттеры всякие. Пойдем, лучше оттянемся. В бар зайдем, выпьем. Ну девок снимем, потрахаемся.
- Что, прямо при девках?

"
55,"— Вы выходите на следующей остановке?
— Нет.
— Зря. Охуенная остановка.

"
56,"Карлсон залетел и ждал малыша.

"
57,"шел ежик по лесу. видит — танк горит. сел в него и погиб как герой!

"
58,"Гестапо обложило все выходы... Но Штирлиц вышел через вход

"
59,"Ежи набились в труп медведя. ""Поехали!"" — кричат медведю.

"
60,"Полностью пустая квартира, в комнате на полу лежит наркоман на газете и перебирает лотерейные билеты... В одном углу сидит бабушка 85-ти лет на табуретке, а в другом стоит старый черно-белый телевизор.
Нарк:
- Еб твою мать - во не прет, блядь!
Бабка, так тихо:
- Что случилось, внучок?
- Шо, шо - телевизор проиграли!!!

"
61,"«У меня под платьем ничего нет», – шепнула она.
«Не надо врать! Я видел, как вы засунули туда пачку пельменей!», – сказал охранник магазина.

"
62,"Идёт мужик, видит — колодец стоит. наклоняется, орет в колодец
мужик: А!
эхо из колодца: Б!
Мужик: В!
эхо: Г!
мужик: Ну нихуя себе!!!
эхо: а хули ты думал?..

"
63,"Грузин после операции по увеличению члена любуется им перекладывая из руки в руку:
— Вах, красавэц!
— Вах, арёль!
Прижимая к себе двумя руками и заваливаясь на спину:
— Вай, заборол, заборол!!!

"
64,"Внуки приходят в гости к деду-фронтовику:
- Дедушка, а ты воевал?
- Да, внучата, воевал.
Внуки рассматривают его фотоальбом и видят фотографию, где дед салютует правой рукой:
- Дедушка как же ты воевал? Ты же с немцами на фотографии честь отдаешь?
- Нет, внучата, вы не поняли. Как немцы пришли, в деревне все разбежались, как крысы, остался один я. Выхожу я из избы, а немцы мне навстречу: ""Мы есть щас жеч этот деревня!"".
А я, подняв руку, говорю: ""Минуточку...""

"
65,"Германия. Наше время. Водитель везёт полный автобус евреев на экскурсию в лагерь Дахау.
Вдруг по дороге автобус ломается. Пассажиры ругаются, водитель паникует. Побежал он в ближайшую баварскую деревню, увидел там простого баварского мужика и говорит:
— Послушай, такая проблема, я тут везу целый автобус евреев в Дахау, автобус сломался, надо помочь!
Мужик чешет в затылке:
— Ого! Так это ж, у меня только микроволновка!

"
66,"Сидят два хомячка у обрыва шапочки вяжут, подходит к ним крокодил и спрашивает указывая на обрыв - ""там вода есть?"". ""Да"" - отвечает отвечает первый хомячек. Крокодил разбегается, прыгает и разбивается в плепёшку. Второй хомячек спрашивает у первого ""ну и зачем ты ему наврал?"". Второй отвечает - ""А зачем ты вчера мою шапочку распустил?""

"
67,"Единственный зверь, которого не может убить Чак Норрис — это медведь. Потому что медведь может умереть только сев в горящую машину.

"
68,"Ночью жена прижимается к мужу:
- Дорогой, ВОЗЬМИ меня!
Муж:
- Спи, дура, я никуда не еду!

"
69,"- Анка почему у Петьки такие волосы пышные?
- Так он их яйцами натирает
- Ну акробат!!!

"
70,"Участковый приходит в квартиру и говорит хозяину:
- Соседи на вас жалуются, утверждают, что из вашей квартиры вечно какими-то тряпками жжеными воняет и смех странный доносится. Что вы тут, черт возьми, делаете?
Ответ:
- Тряпки жжем. Смеемся.

"
71,"Встретились как–то американец, немец и русский. Ну, а языков–то чужих не знают. Так и разошлись.

"
72,"Штирлиц сел в автомобиль и сказал водителю:
- Трогай!
Водитель потрогал и охуел.

"
73,"Мать собирает портфель сыну в школу.
— Вот, я тебе тут положила хлеба, колбасы и килограмм ржавых гвоздей.
— Зачем?
— Ну как зачем? Вот ты в школе проголодаешься, хлеб возьмешь, колбасу на него положишь и поешь.
— А гвозди?
— Да вот же, положила!

"
74,"Когда у меня умерла жена, я не сразу заметил. Секс был прежним, но начала копиться грязная посуда.

"
75,"— От винта, пидорасы! — кричал Карлсон, отгоняя пидорасов от винта.

"
76,"Мужик сидит на рыбалке. Тут выныривает сом. Мужик:
— Ты кто?
— Я сом.
— А тебе чего надо?
— Я твоя жена буду теперь, зови священника. (И засмеялся как–то неприятно.)

"
77,"Идет разгрузка товаров в секс-шоп:
- Валя!!!
- а!
- хуй на!

"
78,"Почему у тебя ботинки в помаде? Опять по бабам ходил?

"
79,"- куда из-за стола пропал, официанток клеил?
- нет, я был в туалете
- ты пикакер

"
80,"- Мама, мама, смотри - мальчик девочку ест!
- Прекрати! Они целуются... А, нет... ест.

"
81,"Лекция “Склероз вчера, сегодня, завтра” пройдет в какой-то из этих дней.

"
82,"— Это полиция, откройте дверь!
— Нет, вы будете на меня кричать.

"
83,"— Сынок, слушай меня внимательно. Зеленая кобыла ногу раздобыла. Понял? Ну иди. Папка тебе фигни не скажет.

"
84,"— Иван, а что у нас сегодня на ужин?
— Мое фирменное блюдо! Жареные ультрамальвины!

"
85,"— Дорогая, кажется, ты потолстела.
— Креститься надо.
— Что?
— Креститься, говорю, надо, чо мы с тобой живём как нехристи.

"
86,"— Зачем ты насрал у меня в подъезде?
— Люди ведут себя безрассудно, когда влюблены.

"
87,"Корова лезет на дерево. Ворона ей:
- Корова, ты чего это на дерево лезешь?
- Яблок хочу поесть.
- Так это же ёлка!
- А у меня с собой...

"
88,"У меня хомяк умер.
— Что, реально умер?
— Нет, блять, со спецэффектами!!!!!

"
89,"Телефонистка:
— номер, который Вы вызываете, не отвечает…
— что, совсем???
— нет, блять, первые две цифры ответили, а остальные молчат!!!!!

"
90,"Приходит мужик к врачу и высовывает маленький–маленький член.
Врач смотрит на член и спрашивает:
– Жалуетесь?
Мужик:
— Нет блять, хвастаюсь!!!!!

"
91,"— Меня сегодня клоуны отпиздили.
— Серьезно?
— Нет, блядь, с шуточками!!

"
92,"Жил-был пёсик без задней ноги... когда писал - всегда падал, бедненький.

"
93,"В класс заходит новый учитель с огромным косяком, садится, запаливает, лечит... тянет... все в шоке...
- Дети, я ваш новый учитель биологии, Петр Сергеевич...
затягивается, лечит, выдыхает...
- Сегодня я расскажу вам про рыбу-пилу...
затягивается...
- Эта рыба обитает на са-а-амом дне океана, у дна, в вечной мгле...
...еще тяжка...
- Но иногда она выходит на берег, и начинает пилить деревья...
затягивается, выдыхает... задумчиво:
- Пиздец... Ебанутая рыба...

"
94,"Идет по Лондону мужик с сапогом на голове. Его останавливается полицейский:
- Почему вы с сапогом на голове?!
- Я всегда по средам гуляю с сапогом на голове!
- Хорошо, но сегодня - четверг!
- Да?! Тогда я выгляжу как дурак!!!

"
95,"Маленький толстый мальчик -М-(никто с ним не дружит и не играет) один гуляет по стройке. Нашел маску сварщика, напялил, идет счастливый. Мимо едет педофил -П-. посторонам пасет. Опа- МАЛЬЧИК!!!
П: Мальчик! Хочешь покататься на машине и получить пакетик леденцов?
М: -ХОЧУ! А можно я в маске сварщика поеду?
Поехали.
П:(Гладит мальчика по коленке...) Мальчик, а ты знаешь что такое фаллос?
М: Нет дядя не знаю...
П: Мальчик, а ты знаешь что такое анус?
М: Нет дядя не знаю...
П: Мальчик, а ты знаешь что такое эрекция?
М: Нет дядя не знаю... Что Вы меня все спрашиваете спрашиваете... я ведь не настоящий сварщик я только маску нашел!

"
96,"Две коровы на скотобойне. Одна обращается к другой:
– Скажите, а вы тут в первый раз?
– НЕТ, БЛЯТЬ, ВО ВТОРОЙ!

"
97,"Заходит ворона в кирзовых сапогах в магазин и спрашивает:
- У вас хлеб черствый?
- Черствый
- Так вам и надо.

"
98,"– Мужчина! У Вас к жопе газета прилипла!
– Что, правда?
– Нет, блядь, Известия!

"
99,"Три толстых тетки на халяву переночевали в роддоме

"
100,"- Вся ванная заставлена твоими сраными кремами и бальзамами!
- Ты хочешь, чтобы у меня была сухая кожа?!
- Петрович, мне похуй!

"
101,"Пенсионер-геймер, играя в «Call Of Duty», встретил однополчанина.

"
102,"СИДИТ ПАРЕНЬ НА СКАМЕЙКЕ.
-ППЦ! ВАЩЕ ППЦ!.
ТУТ ПОДХОДИТ ДРУГ И СПРАШИВАЕТ: -ЧТО СЛУЧИЛОСЬ?
ПАРЕНЬ ОТВЕЧАЕТ: -САДИСЬ РАССКАЖУ..
ДРУГ СЕЛ… -КОРОЧЕ ТУТ ОКАЗЫВАЕТСЯ СКАМЕЙКА ПОКРАШЕНА.

"
103,"Лето. Пляж. Идет мужик в кирзовых сапогах, фуфайке и шапке-ушанке с большой дубиной через плечо. Подходит к загорающей девушке, снимает дубину и со всего размаху бьет девушку по спине. Девушка хрипит. Мужик:
- Ой-ой-ой, какие мы нежные!

"
104,"Как опpеделить пол животного?
Беpете котенка, ставите на пол и слегка шлепаете его по попе, если побежал, то это кот, а если - побежала, то это - кошка.

"
105,"Едет мужик на машине весь день. Hочь уже, устал. Видит - мотель ""Только для черных"". Мужик вымазал лицо гуталином - его пустили. Просит: ""Разбудите меня в 6 утра."" Разбудили его рано - он дальше поехал. К вечеру утомился, видит мотель - ""Только для белых"". Hачал гуталин оттирать - а он ни в какую. Мужик думает:
- Hе того разбудили...

"
106,"Владимир Ильич заработался за-полночь, оторвался от бумаг...
- Наденька?
- Надю-ю-ша?
- Надя?
- Надежда!
- Надежда Константиновна!
- Крупская!
- КРУПА!!!
- спит, сука...

"
107,"- Алло, это ясновидящая Антонина?
- Да, Андрей Палыч.
- Но я не Андрей Палыч!
- Я ЗНАЮ...

"
108,"Сидят четыре мужчины в преферанс играют. А сын хозяина квартиры - шустрый: носится вокруг стола, в карты заглядывает, орет...
И вот тот, что на прикупе говорит хозяину:
- Можно я с вашим ребенком пообщаюсь? Сами понимаете, шум - враг преферанса.
Пообщайтесь - отвечает хозяин, - только вряд ли у вас что-нибудь получится.
Через пять минут игрок возвращается. Ребенок затих.
Через час хозяин забеспокоился:
- Что вы ему такого сказали?- Ничего особенного - дрочить научил.

"
109,"Сегодня, дети мои, восславим Пресвятую Деву. Я хочу, чтобы вы все прочувствовали ее величие и чистоту.
Вот среди вас во втором ряду сидит, как всегда скромно опустив глаза, наша Долорес. Мы все ее хорошо знаем. Сколько добрых дел совершила она! А как она помогает своим родителям и вообще всем старикам нашей деревни! Она не пропускает ни одной мессы!
Хоть она и молода, и доходы ее невелики, но она всегда найдет монеты, чтобы опустить в кружку для пожертвований! А ее скромность, целомудренность и кроткий нрав известны всем! Встань, Долорес, пусть все увидят тебя!
Но, дети мои, по сравнению с Пресвятой Девой она просто блядища!

"
110,"Пришла к деду, который славился на все село своей мудростью, молодая женщина и спрашивает:
- А что это, скажите, означает, если ко мне ласточка в дом залетела?
- Чего ж не сказать? Скажу! Это у тебя или дверь, или окно были открыты.

"
111,"- Дорогой, почему у тебя вся спина исцарапана?
- Я идти не мог, меня орел принес...

"
112,"Один мальчик думал, что у всего должно быть имя. Поэтому у него был большой палец, указательный, средний, Володя и мизинец.

"
113,"Идет негр с попугаем на плече. Мужик у пивного ларька смотрит напряженно на них и спрашивает:
- Ты где его взял?
Попугай отвечает:
- В Африке! Их там миллионы!

"
114,"— Это квартира Ивана Ивановича Тупого?
— Аааам… Эээээ… не понял вопроса.

"
115,"нейтрон заходит в бар и спрашивает:
— почём у вас выпивка?
а бармен отвечает:
— тебе хватит, ты уже и так заряжен.

"
116,"После концерта к Макаревичу подходит карлик и говорит:
— Андрей Вадимович, такая честь с вами встретиться, я на ваших песнях вырос!

"
117,"Путин и Буш в России на рыбалке. Закинули удочки, Путин сосредоточенно смотрит на поплавок. Буш шлепает себя то щеке, то по лбу, то по шее, весь исчесался. Смотрит на Путина — тот спокойно следит за поплавком.
— Владимир, а почему вас не кусают?
— Меня нельзя.

"
118,"- Папа, папа, я больше никогда не пойду с тобой на санках кататься!
- Хорош пиздеть, вези давай!

"
119,"Ну короче, мальчик к маме прибегает и кричит:
- Мама, там у бабушки кальмар!
- Да какой кальмар, о чем ты?
- Натуральный такой кальмар, пойдем покажу!
- Ну пойдем посмотрим.

"
120,"Заходят в комнату, а там бабушка лежит на кровати, юбка задрана, труселя спущены, пиздень наружу. Внук тычет пальцем и такой, типа, вот он, вот кальмар!
Мама ему, краснея:
- Ну что ты, Коленька. Это не кальмар, это бабушкина пися.
- Странно, а на вкус как кальмар.

"
121,"— Позже спишемся, ок? А то у меня как раз фильм загрузился.
— Окей. А какой фильм?
— Никакой. Ты просто меня заебал. Иди нахуй.

"
122,"Идет мужик по улице. Видит девку с красивой грудью.
Подходит к ней и говорит:
— девушка, а можно я Вас за грудь укушу? Я заплачу 100 $ –??? Ты че с дуба рухнул??
— Ну а за 500??
— Не ну ты совсем чтоли?!
— Ну ладно, я сегодня получку получил, давай за 1000$!
Ну та подумала и согласилась. Зашли за угол, она оголила грудь
Мужик мнет, мнет, и так и сяк, за сиськи тискает, тискает.
— Ну ты че мужик, давай уже кусай!
— Ммм… Ну даже и не знаю, чето дороговато…

"
123,"— Почему у меня в супе ЗАЛУПА?!!!
— А вы что такой гомофоб!?

"
124,"Приходит Владимир Ильич Ленин домой и говорит Крупской:
- Наденька, подними пожалуйста юбку и сядь мне на лысину.
Надька офигела. Говорит:
- Да как я могу? Ты же вождь революции, Вовочка... Да и перед пролетариями неудобно...
- Ну, сядь Надюшечка, - говорит Ленин , - чего тебе стоит?
Делать нечего. Задрала Крупская юбку - села Ильичу на его пролетарскую лысину. А он подошел к зеркалу и говорит:
- О, А Феликс Эдмундович говорил, что мне челка не идет!

"
125,"Заходят два дракона в бар. Один говорит другому:
— Что-то здесь жарковато.
А тот отвечает:
— Рот закрой.

"
126,"Стоит наркоман и шерудит палкой в луже. К нему подходит мент:
- Молодой человек, что вы делаете?
- Акул гоняю...
- Но тут нет акул!
- Хорошо гоняю...

"
127,"— Дай-ка я обхвачу его губами, чтобы не упустить ни капли…
— Бля, Петрович, давай уже новый пузырь откроем!

"
128,"— Алё
— Скорую вызывали?
— Вызывали
— Выходите, машинка подъехала!

"
129,"В орловской области водитель кольцевого трамвая два года проработал мёртвым

"
130,"Крупская рассказывает ребятам про дедушку Ленина.
— Как-то дедушка Ленин брился, а рядом стоял маленький мальчик. и вот дедушка достал кожаный ремень и точит об него свою опасную бритву. а мальчик смотрит. а Ленин точит. а мальчик всё смотрит и смотрит. а Ленин точит.. а мог бы и полоснуть!

"
131,"Лес. Зима. Очень холодно. Берлога, полная медведей. Все не спят, жмутся, трясутся, челюстями стучат. Тут один предлагает:

"
132,"- Слышь, эта... Давайте ебаться, чтоб теплее было.

"
133,"Ну, альтернатив нет. Начали шпилиться.

"
134,"А по лесу зайка скакал. Скакал, скакал, да и провалился под снег, в эту самую берлогу. И видит заяц всю эту содомию.

"
135,"- Ох, нихуя ж себе!

"
136,"И выскочил из берлоги - не догнать.

"
137,"Медведи за ним кинулись - ещё расскажет кому.

"
138,"Бегут за зайцем, значит, и добегают до озера. Смотрят медведи - заяц под лёд провалился! Осторожно, ползком добираются до проруби. Смотрят в прорубь, а из неё бобёр выныривает.

"
139,"- Бобёр, а бобёр, зайца не видал? Он вот тут провалился.
- Я с пидарасами не разговариваю.

"
140,"Иосиф Пригожин и Иосиф Кобзон поменялись фамилиями.
Теперь Иосиф - Пригожин, а Иосиф – Кобзон.

"
141,"Первая брачная ночь...Только молодые легли в постель, настойчивый звонок в дверь.
Жених, матерясь, идет в прихожую и открывает дверь.
В квартиру ни слова ни говоря заходят два мужика с гробом на плечах, обходят супружеское ложе и - на выход. Жених :
- Не понял!! Что за херня?
- Извини, братан! В подъезде не развернуться!!

"
142,"- господин Барщевский
- да, господин ведущий
- вы когда-нибудь снимались в гей-порно?
- нет, господин ведущий
- то есть вы никогда не отсасывали перед камерой двум здоровенным неграм, в то время как третий пытался засунуть хрустальную сову вам в задний проход?
- нет, господин ведущий
- ...знатоки, внимание на экран

"
143,"Жил был один принц, который спросил прекрасную принцессу: «Ты выйдешь за меня замуж?»
И она ответила: «…НЕТ!!!»
И принц жил долго и счатливо, ездил на рыбалку, каждый день встречался с друзьями, бухал, и раскидывал носки по дворцу, и не опускал крышку унитаза, и трахал служанок, соседок, и подружек, и пел в душе, пердел и громко рыгал, и чесал себе яйца.

"
144,"Конец

"
145,"Умерший обращается к Богу:
– В чём смысл был моей жизни?
– Помнишь, как незадолго до смерти, ты ехал в поезде и в вагоне-ресторане передал солонку соседке?
— Да.
— Ну вот...

"
146,"Два года колонии, по ст. 280 УК РФ, Получил сантехник ЖЭКа Петров, за выкрики на улице: ""Всё прогнило, всю систему нужно менять"".

"
147,"Приходит к Богу секретарь:
– Бог, к вам пришли атеисты.
– Скажите им, что меня нет.

"
148,"— Ты слышал, Вован покончил с собой: с крышы прыгнул.
— Да? А какой мотив?
— Не Кобзон, молча ёбнулся…

"
149,"встретились как то коллекционеры
— я марки собираю
— а я монеты
— а я шарики от мышек
— а в чем прикол??
— ну в жопу засунешь — прикольно.. а у вас в чем прикол?

"
150,"1: Я марки собираю.
2: А я монеты.
3: А я фантики.
4: А я - мусор.
Все: В смысле?
4: В смысле ваши документы.

"
151,"— Малдер, я не могу уснуть. Мне кажется, будто во мне чужой.
— Не бойся, Скалли, это мой.

"
152,"Я люблю тебя!
— Я не знаю что сказать...
— Скажи как есть.
— Ешь ртом.

"
153,"приходит мужик в бар и говорит:
- давайте скорее ниливайте мне рюмку водки, а то щас начнется!
выпивает рюмку залпом
- давайте, давайте еще одну, а то щас начнется!
- а что начнется то?
- наливайте скорее!
бармен ниливает еще рюмку водки, мужик выпивает. мужик:
- наливайте еще, скорее!
- а счет оплатить?
- ну вот, началось

"
154,"Загадка.
Сколько сперматозоидов у гомосексуалиста?
Ответ: ПОЛНАЯ ЖОПА!

"
155,"Супружеское ложе - муж с женой:
Жена: - Дорогой, а давай мы будем играть в ролевые игры?
Муж: - Давай.
Жена: - Ты таксист, а я молодая, симпатичная девочка, которая доехала, но у меня нет при себе денег рассчитаться за проезд.
Муж: - Давай.
Жена: - Дяденька таксист, у меня нет денег расплатиться за проезд, отпустите меня, пожалуйста!
Муж: - Иди...

"
156,"— Скажи мне кто твой друг и я скажу тебе кто ты.
— Кто твой друг?
— Кто ты?

"
157,"Идёт мужик по лесу, увидел дупло.
Подошёл к дереву , засунул руку в дупло , вытаскивает - нет руки . . . Он обалдел. . . засунул другую руку, вытаскивает . . . - и этой нет.
Тогда он голову в дупло суёт и кричит:
- Вам там что, блять , совсем делать нехуй?!

"
158,"Приходит мужик к сексопатологу.
- Не стоит.
Врач его осмотрел, говорит:
- Завтра приходите с женой.
Пришли они с женой. Врач жену заводит в кабинет и говорит:
- Ты, мужик, в коридоре подожди. А вы раздевайтесь... вся раздевайтесь... так, хорошо, на кушетку лягьте...
чудненько, на живот перевернитесь... ясно, на четвереньки встаньте... ну все понятно, одевайтесь.
Выглядывает в коридор к мужику:
- Все нормально, у меня тоже не встал.

"
159,"Маленькая девочка с начала декабря усиленно готовилась к приходу деда Мороза: выучила большой стих, мама сшила красивое платье и т.п.

"
160,"31 декабря. Платье надето, повязан бант, стих повторён. Звонок в дверь - Дед Мороз пришёл! Девочка радостно бежит из комнаты в прихожую и на самом финише обо что-то запинается и брякается со всей дури на пол. Поднимается - ревёт во всё горло и говорит:

"
161,"- Дедушка! Я целый месяц ждала тебя, готовилась, платье сшили, стишок выучили! А сейчас упала, головой ударилась, стих забыла, платьице порвала, бантик распутался-аааааааа!!!!!

"
